dataset,variable,category,n_problems,n_inconsistent,failure_rate
choices13k,ambiguity,False,11355,2584.0,22.756494936151476
choices13k,ambiguity,True,2720,925.0,34.00735294117647
cpc18,ambiguity,False,219,37.0,16.894977168949772
cpc18,ambiguity,True,37,8.0,21.62162162162162
choices13k,corr,-1,587,152.0,25.894378194207835
choices13k,corr,0,12902,3187.0,24.70159665168191
choices13k,corr,1,586,170.0,29.01023890784983
cpc18,corr,-1,10,1.0,10.0
cpc18,corr,0,239,43.0,17.99163179916318
cpc18,corr,1,7,1.0,14.285714285714285
choices13k,ev_max_conflict,False,8227,1638.0,19.910052266925977
choices13k,ev_max_conflict,True,5848,1871.0,31.993844049247606
cpc18,ev_max_conflict,False,140,29.0,20.714285714285715
cpc18,ev_max_conflict,True,116,16.0,13.793103448275861
choices13k,has_safe_option_A,False,6169,1751.0,28.383854757659265
choices13k,has_safe_option_A,True,7906,1758.0,22.236276245889197
cpc18,has_safe_option_A,False,110,25.0,22.727272727272727
cpc18,has_safe_option_A,True,146,20.0,13.698630136986301
choices13k,has_safe_option_B,False,13921,3454.0,24.81143596006034
choices13k,has_safe_option_B,True,154,55.0,35.714285714285715
cpc18,has_safe_option_B,False,251,42.0,16.733067729083665
cpc18,has_safe_option_B,True,5,3.0,60.0
choices13k,n_outcomes_B_group,1-2,7663,1793.0,23.398146939840796
choices13k,n_outcomes_B_group,3-4,1875,510.0,27.200000000000003
choices13k,n_outcomes_B_group,5-6,1893,479.0,25.303750660327523
choices13k,n_outcomes_B_group,7+,2644,727.0,27.49621785173979
cpc18,n_outcomes_B_group,1-2,148,28.0,18.91891891891892
cpc18,n_outcomes_B_group,3-4,37,6.0,16.216216216216218
cpc18,n_outcomes_B_group,5-6,26,3.0,11.538461538461538
cpc18,n_outcomes_B_group,7+,45,8.0,17.77777777777778
choices13k,feedback,False,2301,652.0,28.335506301608
choices13k,feedback,True,11774,2857.0,24.265330388992695
cpc18,feedback_available,True,256,45.0,17.578125
cpc18,reconstruction_method,empirical,122,22.0,18.0327868852459
cpc18,reconstruction_method,exact,134,23.0,17.16417910447761
