dataset,group,accuracy_gain,auc_gain,n_features_in_group
choices13k,risk,0.0006376689082945308,0.05958691671163663,10
choices13k,loss,0.04411677094890554,0.14300209153841292,15
choices13k,dominance,0.0004254061220844152,0.041767871435054116,3
choices13k,salience,-0.008937025603868332,0.03200192142543479,9
choices13k,similarity,-0.0003550124660673948,0.0786894434151354,4
choices13k,skewness,-0.006028846807001109,0.030969792995578338,8
cpc18,risk,-0.0078125,0.06582411795681942,10
cpc18,loss,-0.0078125,0.09583991574512896,15
cpc18,dominance,0.0078125,0.09657714586624544,3
cpc18,salience,-0.015625,0.053185887309110114,9
cpc18,similarity,-0.03515625,0.16240126382306486,4
cpc18,skewness,-0.015625,0.0263296471827279,8
