choices13k_problem_id,ev_diff,observed_B_rate,ev_failure,cpc18_neighbors,avg_similarity,max_similarity
11978,0.15,0.6749999999999999,True,10,0.9719616,0.987033
7340,0.8,0.48,False,8,0.9842099999999999,0.986406
176,0.0,0.25,False,7,0.9542365714285714,0.96186
12031,0.16,0.3875,False,6,0.9852776666666667,0.989295
2027,-2.5,0.4210526315789473,True,6,0.971023,0.971023
2027,-2.5,0.5882352941176471,False,6,0.971023,0.971023
3845,2.5,0.2947368421052631,False,6,0.967369,0.968989
11635,3.35,0.0625,False,5,0.948492,0.948492
4528,1.35,0.6,True,4,0.9922185,0.996802
8518,1.45,0.1894736842105263,False,4,0.9907444999999999,0.993323
4002,-0.4,0.6499999999999999,False,4,0.9889764999999999,0.992128
7621,1.8,0.24,False,4,0.9894000000000001,0.991994
8347,-1.4,0.8555555555555556,False,4,0.9865485,0.991436
3798,-1.9,0.775,False,4,0.980799,0.991415
2675,-1.95,0.725,False,4,0.987854,0.990779
2675,-1.95,0.64,False,4,0.987854,0.990779
11041,-2.94,0.7374999999999999,False,4,0.983507,0.987363
4704,-2.8,0.7375,False,4,0.9825465,0.986715
11070,0.75,0.3083333333333333,False,4,0.9772505,0.984909
10021,1.01,0.3894736842105264,False,4,0.9766334999999999,0.984908
4517,-3.3,0.8,False,4,0.9793775,0.983828
7544,2.3,0.6,True,4,0.9826035,0.983251
2730,0.75,0.4588235294117648,False,4,0.97184475,0.983
3933,2.5,0.2588235294117648,False,4,0.979036,0.980563
3933,2.5,0.2133333333333332,False,4,0.979036,0.980563
12249,0.0,0.4266666666666667,False,4,0.9658205,0.980402
8114,-1.25,0.8222222222222223,False,4,0.978145,0.978909
5395,-2.0,0.9,False,4,0.9698035,0.974817
3999,0.9,0.4375,False,4,0.9700985,0.971976
10122,7.45,0.2875,False,4,0.930775,0.932662
9196,2.2,0.7222222222222221,True,3,0.9843226666666667,0.992888
6403,2.06,0.7624999999999998,True,3,0.987708,0.989505
10708,3.3,0.325,False,3,0.9812146666666667,0.98937
10384,-0.35,0.4284313725490196,True,3,0.9864196666666667,0.989243
4491,-2.0,0.6933333333333334,False,3,0.985784,0.987842
4491,-2.0,0.7375,False,3,0.985784,0.987842
1978,0.25,0.5647058823529412,True,3,0.9726429999999999,0.987752
9651,-0.1,0.6249999999999999,False,3,0.9848216666666666,0.987552
3712,1.45,0.2555555555555555,False,3,0.9864133333333334,0.987061
3592,1.7,0.6588235294117647,True,3,0.983991,0.986929
12130,1.2,0.1888888888888888,False,3,0.9828166666666667,0.984866
8802,1.0,0.25,False,3,0.9789453333333333,0.98399
11498,-1.2,0.6742857142857143,False,3,0.9812273333333333,0.98202
9378,4.51,0.4266666666666667,False,3,0.9629203333333334,0.981453
5727,-1.45,0.6555555555555554,False,3,0.9753403333333334,0.980761
7394,-1.84,0.823529411764706,False,3,0.9799143333333333,0.98071
9016,-11.6,0.5466666666666666,False,3,0.913108,0.979361
4025,-1.62,0.8117647058823529,False,3,0.9720759999999999,0.976295
4025,-1.62,0.8266666666666668,False,3,0.9720759999999999,0.976295
8788,0.44,0.6875,True,3,0.971228,0.976203
